reviewerID,productID,rating
1,100,2
1,98,1
1,101,3
1,102,3
2,101,3
2,99,0
2,97,4
2,100,2
3,98,4
3,103,4
3,105,0
3,102,5
3,97,1
3,99,0
4,102,2
4,103,3
4,101,5
4,99,2
4,97,0
5,98,1
5,97,4
6,101,4
6,102,5
7,99,1
7,97,1
7,101,0
8,102,5
8,104,3
8,103,4
8,98,1
8,97,4
8,99,1
9,97,1
9,98,2
9,99,2
10,98,5
10,97,4
11,97,3
11,98,3
11,99,5
12,100,5
12,101,5
12,108,4
12,98,4
12,106,3
12,105,4
12,107,0
12,102,1
13,108,4
13,100,4
13,105,3
13,102,1
13,107,2
13,98,5
13,99,0
13,103,5
13,106,5
13,101,5
14,97,5
15,97,2
15,99,4
15,101,4
16,98,2
16,101,4
16,100,3
16,99,5
17,97,0
17,99,0
18,98,1
18,99,5
18,97,5
19,102,5
19,97,1
19,98,5
